codigo_produto,descricao_produto,qtd_ocorrencias
005769,ASSENTO VASO SANITARIO VOGUE (DECA) BRANCO,2
004092,ASSESSORIA NA BRIGADA DE INCENDIO,1
005182,ASSESSORIA NO LAUDO DE VISTORIA,1
009366,ASSISTÊNCIA TÉCNICA JUDICIAL,4
001764,AT008 IC PT - ESCOVA DE VEDAÇÃO 5X5,2
012349,"ATARRACHANTE DRYWALL 3,5X25MM CAB. TROMBETA PHILIPS PONTA AG ULHA (PRETO FOSFATIZADO) (I)",1
012500,"ATARRACHANTE DRYWALL 3,5X25MM CAB. TROMBETA PHILIPS PONTA AG ULHA (ZINCADO)",1
012255,Atendimento por agendamento sob demanda (16h ¿¿¿ remoto exclusivo),1
012354,ATESTADO BRIGADA DE INCÊNDIO,3
009806,ATUALIZAÇÃO DE TREINAMENTO PARA O USO CORRETO E REGULAR DOS EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL,1
009808,ATUALIZAÇÃO DE TREINAMENTO PARA TRABALHAR COM SEGURANÇA EM ATIVIDADES ENVOLVENDO ELETRICIDADE,1
004930,"AUTO BROCANTE 8X1¨M2(4,2X13)",1
009390,AUTO TRANSFORMADOR 100 KVA 220V / 380V TRIFÁSICO A SECO 100000 VA,1
008403,AUTOTRANSFORMADOR A SECO 40 KVA 197/220V,1
007096,"AVENTAL DE RASPA COURO SOLDADOR C/ EMENDA 1X0,60M",1
009953,AZEITONA VERDE SH 50G,1
011608,Azulejo Adesivo Autocolante Lavável Metro White Branco Branco,1
011711,Baba Shop Banqueta Alta Estofada para Cozinha Bar Restaurante Bancada Gourmet Com Regulagem Giratória Viena Preto 87 cm,1
005081,BACIA COM CAIXA ACOPLADA BRANCA,5
003316,BACIA CONVENCIONAL ASPEN BRANCO GELO,2
008077,BACIA DE CONTENCAO METALICA 250 L,1
008693,BACIA PARA CAIXA COM SAIDA HORIZONTAL,2
009934,BALA GOMA DELIMAKS PCT 30G,1
011482,Balcão Aparador Buffet Absoluto 3 Portas com Pés de Madeira Retrô Preto/Nature J&amp;A Black Nature,1
012298,Balcão Aparador Com Tampo 2 Prateleiras E Pés Em Aço 134 Cm Cor Preto Com Mel,1
011521,Balcão Buffet Aparador Bar Estilo Industrial Café Adega,1
010637,BALCÃO BUFFET COPACABANA 4 PORTAS FREIJÓ/PRETO FOSCO,18
009799,BALCÃO CANTINHO CAFÉ ENCANTO 2 PORTAS PARA COZINHA/RECEPÇÃO,1
004340,BALCAO DE ATENDIMENTO RECEPÇÃO,1
010230,BALCÃO DE BANHEIRO INDUSTRIAL MONTADO COM PORTA TOALHA,1
008821,BALCAO DE COZINHA GRANDE HERVAL TEN MDF 2 PORTAS COR GRAFITE,2
004185,"BALCÃO DELI 1,40",4
007021,BALÇÃO DELI RUDNICK - NATURAL/PRETO/METAL PRETO REF. 542190,1
005011,BALCÃO GABINETE PIA,2
004186,"BALCÃO HORUS 0,80",5
000081,"BALCAO HORUS 0,80M PRETO FOSCO/AVELA (TAMPO AVELA)",4
000080,"BALCAO HORUS 1,35M PRETO FOSCO/AVELA (TAMPO AVELA)",4
004529,"BALCÃO HORUS 1,60M",7
004530,"BALCÃO HORUS 2,00M",2
007244,"BALCÃO SICILIA RUDNICK 1,70M - COD 541966",3
004184,"BALCÃO VALENCIA 2,20",1
012430,BALDE 10L PLASTICO REF BF10 ARQPLAST,1
005839,BALDE 4L AMARELO C ALCA BA04AM BRALIMPIA,8
012246,BALDE 4L AMARELO C/ALCA BA04AM BRALIMPIA,1
005840,BALDE 4L AZUL C ALCA BA04AZ BRALIMPIA,9
006692,BALDE 4L VERDE C ALCA BA04AZ BRALIMPIA,12
012247,BALDE 4L VERDE C/ALCA BA04VD BRALIMPIA,1
012456,BALDE 4L VERM C/ALCA BA04VM BRALIMPIA,1
006186,BALDE 4L VERMELHO C ALCA BA04AM BRALIMPIA,1
006193,BALDE 4L VERMELHO C ALCA BA04AM BRALIMPIA,1
006270,BALDE 8L PLASTICO REF BF08 ARQPLAST,1
006271,BALDE 8L PLASTICO REF BF08 ARQPLAST,9
008538,BALDE PARA PIPOCA 7L ALUMINIO,4
001475,BALDE PLASTICO,1
012251,BALIZADOR EMBUTIDO SOLO LED 5W IP67 AÇO INOX 4000K,1
003738,BANCADA,6
011591,BANCADA GOURMET INDUSTRIAL JOGO MESA BISTRÔ BANQUETA BALCÃO,1
011535,Bancada Suspensa Lavatório Com Cuba E Prateleira P/ Banheiro,3
008184,BANCO ATLANTIS 3 LUGARES - RUDNICK - B20GYY,2
008716,BANCO COM ASSENTO DE MADEIRA MACIÇA 3 LUGARES BEND 149X47X47CM STAIN JOTOBÁ,2
008717,BANCO COM PÉS DE METAL ESTOFADO 3 LUGARES BEND 149X47X47CM TEC. 029 COURO SINTÉTICO CARAMELO,4
012279,BANCO DE JANTAR COM 2 LUGARES ELIS AVELÃ E BEGE 109 CM,1
008368,BANCO DE JANTAR STAL,5
009668,BANCO LIVIA BEGE 140CM,1
006021,BANCO MADEIRA,1
006141,"BANCO ZOE NOGAL ECO 3 LUG. ESTOFADO 1,55M TECIDO 4F",1
011279,BANDEIRA IMPRESSA SOBRE DOIS TECIDOS POLYESTER 100% (FRENTE E VERSO),2
008467,BANDEJA 1U X 290MM FIXAÇÃO FRONTAL - PRETO,10
001775,BANDEJA DE CAFÉ,16
005191,BANDEJA DECORATIVA,1
009420,BANDEJA FIBRA DRENO AR CONDICIONADO ATÉ 9000BTU,1
007531,"BANDEJA PARA PINTURA 23 CM 1523P 2,7L",6
008729,BANDEJA PRETA PEQ CONDOR 998,1
003425,BANNER,10
009121,BANNER EM LONA TAMANHO A0 - COLORIDO,1
012505,BANQUETA ALTA BAR GIRATÓRIA COR PRETA ASSENTO CARAMELO 518,1
012078,BANQUETA ALTA DUO CARRARO GRAFITE E PRETO,1
006020,BANQUETA BANCO CATRACA ALTA,1
012148,Banqueta bistrô alta para bancada,1
006019,BANQUETA DE AÇO GIRATÓRIA,2
009601,BANQUETA ESTILO INDUSTRIAL 50X35X35 FERRO MADEIRA PINUS BAR,1
012127,BANQUETA GÁVEA PP RIVATTI,2
005819,BANQUETA INDUSTRIAL FERRO E MADEIRA,1
001491,BARRA ANTIPÂNICO HORIZONTAL,1
010684,BARRA ANTIPÂNICO SIMPLES (1 FOLHA) TOUCH COM FECHADURA,1
008998,"BARRA CHATA COBRE ELETROLITICO 1 X 1/8 (25X3MM) 1,50MT 195A",2
004801,BARRA DE APOIO EM ALUMINIO,6
008970,BARRA ROSCADA - C 1/4 1MT,1
003694,BARRA ROSCADA 1/4&quot; X 3000MM,17
003790,BARRA ROSCADA 1/4X3MT ZI,14
001373,BARRA ROSQUEAVEL 3/8,3
000016,BARRAMENTO 80A 220/440V 3X19 DIN TRIF.,3
009638,BARRAMENTO CENTRAL TRIFÁSICO 100A 28/P,1
000017,BARRAMENTO P/34 DISJ TRIF 100A DIN BC,3
005028,BARRAMENTO PENTE TRIF 57 DISJ DIN 80A PINO,1
012172,BARRAMENTO STECK NEUTRO 06 AZUL 05/08 DIN SBN,1
012173,BARRAMENTO STECK TERRA 06 VERDE 05/08 DIN SBT6,1
008999,BARRAMENTOS PARA DISJUNTOR CAIXA MOLDADA TAMANHO B,1
